source;target;edge_type;weight
"Moreau2116_GBOOKSph5";"Moreau2116_GBOOKSph6";"precedence";"1"
"Moreau2116_GBOOKSph6";"Moreau2116_GBOOKSph7";"precedence";"1"
"Moreau2116_GBOOKSph7";"Moreau2116_GBOOKSph8";"precedence";"1"
"Moreau2116_GBOOKSph8";"Moreau2116_GBOOKSph9";"precedence";"1"
"Moreau2116_GBOOKSph9";"Moreau2116_GBOOKSph10";"precedence";"1"
"Moreau2116_GBOOKSph10";"Moreau2116_GBOOKSph11";"precedence";"1"
"Moreau2116_GBOOKSph11";"Moreau2116_GBOOKSph12";"precedence";"1"
"Moreau2116_GBOOKSph12";"Moreau2116_GBOOKSph13";"precedence";"1"
"Moreau2116_GBOOKSph13";"Moreau2116_GBOOKSph14";"precedence";"1"
"Moreau2116_GBOOKSph14";"Moreau2116_GBOOKSph15";"precedence";"1"
"Moreau2116_GBOOKSph15";"Moreau2116_GBOOKSph16";"precedence";"1"
"Moreau2116_GBOOKSph16";"Moreau2116_GBOOKSph17";"precedence";"1"
"Moreau2116_GBOOKSph17";"Moreau2116_GBOOKSph18";"precedence";"1"
"Moreau2116_GBOOKSph18";"Moreau2116_GBOOKSph19";"precedence";"1"
"Moreau2116_GBOOKSph19";"Moreau2116_GBOOKSph20";"precedence";"1"
"Moreau2116_GBOOKSph20";"Moreau2116_GBOOKSph21";"precedence";"1"
"Moreau2116_GBOOKSph21";"Moreau2116_GBOOKSph22";"precedence";"1"
"Moreau2116_GBOOKSph22";"Moreau2116_GBOOKSph23";"precedence";"1"
"Moreau2116_GBOOKSph23";"Moreau2116_GBOOKSph24";"precedence";"1"
"Moreau2116_GBOOKSph24";"Moreau2116_GBOOKSph25";"precedence";"1"
"Moreau2116_GBOOKSph25";"Moreau2116_GBOOKSph26";"precedence";"1"
"Moreau2116_GBOOKSph26";"Moreau2116_GBOOKSph27";"precedence";"1"
"Moreau2116_GBOOKSph27";"Moreau2116_GBOOKSph28";"precedence";"1"
"Moreau2116_GBOOKSph28";"Moreau2116_GBOOKSph29";"precedence";"1"
"Moreau2116_GBOOKSph29";"Moreau2116_GBOOKSph30";"precedence";"1"
"Moreau2116_GBOOKSph30";"Moreau2116_GBOOKSph31";"precedence";"1"
"Moreau2116_GBOOKSph31";"Moreau2116_GBOOKSph32";"precedence";"1"
"Moreau2116_GBOOKSph32";"Moreau2116_GBOOKSph33";"precedence";"1"
"Moreau2116_GBOOKSph33";"Moreau2116_GBOOKSph34";"precedence";"1"
"Moreau2116_GBOOKSph34";"Moreau2116_GBOOKSph35";"precedence";"1"
"Moreau2116_GBOOKSph35";"Moreau2116_GBOOKSph36";"precedence";"1"
"Moreau2116_GBOOKSph36";"Moreau2116_GBOOKSph37";"precedence";"1"
"Moreau2116_GBOOKSph37";"Moreau2116_GBOOKSph38";"precedence";"1"
"Moreau2116_GBOOKSph38";"Moreau2116_GBOOKSph39";"precedence";"1"
"Moreau2116_GBOOKSph39";"Moreau2116_GBOOKSph40";"precedence";"1"
"Moreau2116_GBOOKSph40";"Moreau2116_GBOOKSph41";"precedence";"1"
"Moreau2116_GBOOKSph41";"Moreau2116_GBOOKSph42";"precedence";"1"
"Moreau2116_GBOOKSph42";"Moreau2116_GBOOKSph43";"precedence";"1"
