source;target;weight;sha1;average_hash
fabienprevots;webissimo;2;6e4698c4036aac1d0a89a56ad5d01b220a27e95a;0f0f6f27131f0f07
CBernardins;radiorcf;1;a51253995b80006ccfb092d36c5d64df07e3a3b0;0f0f6f5f7f2f0f0f
LaGBD1;dubois_avocat;1;ba3e6c16f2418975e96f2c71310babf9606cf330;0f1f0f0f0f1f0f0f
LaGBD1;ithomasmore;1;4aacaa3fe796fe7afb09c90661cad9837157a624;0f1f0f0f0f1f0f0f
dubois_avocat;ithomasmore;1;4aacaa3fe796fe7afb09c90661cad9837157a624;0f1f0f0f0f1f0f0f
GeorgSamel;LaGBD1;1;3f0e6885c6dcab3f6596ef410fcda251b9312167;0f1f0f0f0f1f0f0f
GeorgSamel;dubois_avocat;1;3f0e6885c6dcab3f6596ef410fcda251b9312167;0f1f0f0f0f1f0f0f
GeorgSamel;ithomasmore;1;3f0e6885c6dcab3f6596ef410fcda251b9312167;0f1f0f0f0f1f0f0f
LaGBD1;telephoneFR;1;aa96b25b1aeb985f87eece9fd2cd701647ead5a6;0f1f0f0f0f1f0f0f
dubois_avocat;telephoneFR;1;aa96b25b1aeb985f87eece9fd2cd701647ead5a6;0f1f0f0f0f1f0f0f
ithomasmore;telephoneFR;1;aa96b25b1aeb985f87eece9fd2cd701647ead5a6;0f1f0f0f0f1f0f0f
GeorgSamel;telephoneFR;1;aa96b25b1aeb985f87eece9fd2cd701647ead5a6;0f1f0f0f0f1f0f0f
clara_leroy_fr;dakarxibar;3;f8c8bb3f3452b9e9a7fca897c5111798c5eacd08;0f1f1f3f1e001810
EveilleursE;pbaucheron;1;ace6767410193e9a1c9fcfca003f3733fd826c0f;0f2f7f5f9f7b0000
MichelJanva;ppat49;12;1abf26c1f98da180ecaa84016f45dc682f25d8d2;1000bf8effff3f00
EPOCNEWS;franceinfo;2;1574f78729573ce2dccb44120dc31cdf08eca958;10181f1f1f0f1f1f
MichlMeier;atlantico_fr;3;0a1d4c6cd6d412b9be0b85de8f2d2f35a5199b25;12124440dafe7e6e
