Source;Target;LinkType;Weight;AverageHash;Sha1;Category
AberlinJacklyne;LouiseM71493518;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;Enfantdabord2;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;dede17_86;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;hamalus;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
scorpion496;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
PGannat;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
scorpion496;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
abbealdric;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
jeanclaudepeyra;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
lollimeur;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
nathalielavi;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LouiseM71493518;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;scorpion496;share;2;00c6d0f6e2e0f0e0;None; barcode_baby
dede17_86;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
hamalus;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LubacGenevieve;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;LubacGenevieve;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;LubacGenevieve;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LubacGenevieve;PGannat;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LubacGenevieve;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LubacGenevieve;abbealdric;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LubacGenevieve;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LubacGenevieve;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LubacGenevieve;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;LubacGenevieve;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LouiseM71493518;LubacGenevieve;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;LubacGenevieve;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LubacGenevieve;dede17_86;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LubacGenevieve;hamalus;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;LubacGenevieve;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LubacGenevieve;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
angelo_bottone;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;angelo_bottone;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;angelo_bottone;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
PGannat;angelo_bottone;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
angelo_bottone;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
abbealdric;angelo_bottone;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
angelo_bottone;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
angelo_bottone;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
angelo_bottone;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;angelo_bottone;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LouiseM71493518;angelo_bottone;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;angelo_bottone;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
angelo_bottone;dede17_86;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
angelo_bottone;hamalus;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;angelo_bottone;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
angelo_bottone;scorpion496;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LubacGenevieve;angelo_bottone;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
alixgraccus1;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;alixgraccus1;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;alixgraccus1;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
PGannat;alixgraccus1;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
alixgraccus1;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
abbealdric;alixgraccus1;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
alixgraccus1;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
alixgraccus1;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
alixgraccus1;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;alixgraccus1;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
