Source;Target;LinkType;Weight;AverageHash;Sha1;Category
elleaime53;tof92130;follow;2;None;None; None
CarolineRoux1;elleaime53;follow;1;None;None; None
elleaime53;vaubandaniel;follow;2;None;None; None
elleaime53;krunch_fr;follow;1;None;None; None
C_Pantalon;elleaime53;follow;1;None;None; None
Sentinelles_fr;elleaime53;follow;1;None;None; None
Enfantdabord2;elleaime53;follow;1;None;None; None
MarcPiguel;elleaime53;follow;1;None;None; None
FrkLaBaule;elleaime53;follow;2;None;None; None
J_JChatelier;elleaime53;follow;1;None;None; None
cussinelpaule;elleaime53;follow;1;None;None; None
VitaJeunes;elleaime53;follow;1;None;None; None
elleaime53;teppdude;follow;1;None;None; None
elleaime53;manifpourtous83;follow;1;None;None; None
ClPeqt;elleaime53;follow;1;None;None; None
Le_blog_d_HB;elleaime53;follow;1;None;None; None
Alis58805436;elleaime53;follow;2;None;None; None
elleaime53;lsas78;follow;1;None;None; None
alliancevita31;elleaime53;follow;1;None;None; None
JEANNOTKZ;elleaime53;follow;2;None;None; None
AFCdu94;elleaime53;follow;1;None;None; None
CrocdeGang;elleaime53;follow;1;None;None; None
J_Tiberghien;elleaime53;follow;1;None;None; None
dugbs78;elleaime53;follow;1;None;None; None
elleaime53;stanislasrig;follow;1;None;None; None
elleaime53;miss7terre;follow;1;None;None; None
elleaime53;lmptlr;follow;2;None;None; None
MaKarDoue;elleaime53;follow;1;None;None; None
BEF90894800;elleaime53;follow;2;None;None; None
Sentinelles16;elleaime53;follow;1;None;None; None
elleaime53;le_Parisien;follow;1;None;None; None
LaManifPrTous37;elleaime53;follow;2;None;None; None
JacquesRobidel;elleaime53;follow;1;None;None; None
AllianceVita49;elleaime53;follow;2;None;None; None
RichardHilton15;elleaime53;follow;2;None;None; None
elleaime53;frantztoussaint;follow;1;None;None; None
HenrideSoos;elleaime53;follow;1;None;None; None
Omnia_Somnia;elleaime53;follow;1;None;None; None
LeonTologue;elleaime53;follow;2;None;None; None
cpdh_eu;elleaime53;follow;1;None;None; None
LMPTMaroc;elleaime53;follow;1;None;None; None
MPTIreland;elleaime53;follow;1;None;None; None
elleaime53;y_a_de_la_Joie_;follow;1;None;None; None
LMPT57;elleaime53;follow;1;None;None; None
AudeMirkovic;elleaime53;follow;1;None;None; None
Valeurs;elleaime53;follow;1;None;None; None
antoinne92;elleaime53;follow;2;None;None; None
JeanMarcVILLER;elleaime53;follow;1;None;None; None
elleaime53;manifpourtous31;follow;1;None;None; None
O_N_L_R;elleaime53;follow;1;None;None; None
elleaime53;jocelynchereau;follow;1;None;None; None
PA_MCO;elleaime53;follow;1;None;None; None
MPTOnlacherien;elleaime53;follow;1;None;None; None
MargottinSylvi1;elleaime53;follow;2;None;None; None
YvesPDB;elleaime53;follow;1;None;None; None
elleaime53;pbaucheron;follow;1;None;None; None
DaViciDaVici;elleaime53;follow;2;None;None; None
Rpr5019;elleaime53;follow;1;None;None; None
OliberBox;elleaime53;follow;1;None;None; None
InformateurDab;elleaime53;follow;1;None;None; None
elleaime53;josephinemd34;follow;1;None;None; None
Couramiaous;elleaime53;follow;1;None;None; None
